"name","cas","dcb","code","pharmacy"
chamomilla homeo,,,"3951",b
champorus,,,"5653",c
chaparral floral (cal),,,"6936",b
chapeu couro,,,"46425",b
chapeu couro po sob enc,,"10871","46425",a
chapeu de couro tm,,,"9971",b
chapeu de sol floral (sg),,,"3506",b
charcoal mask,,,"13302",b
charcoal powder carvao vegetal,,,"14635",b
chelidonium,,,"3081",b
chelidonium majus ho,,,"4665",c
chelidonium majus homeo,,,"6009",b
chelidonium majus tm,,,"6425",b
chemynol,,,"2348",b
chemyunion g.a.,,,"12112",b
chenopodium ambrosioides tm,,,"10124",b
cherry plum *,,,"4222",c
cherry plum fl - bach,,,"24260",a
cherry plum floral (bach),,,"6992",b
cherry pure,,,"9526",c
cherry pure,,,"11926",b
chestnut bud,,,"4927",c
chestnut bud fl -bach,,,"24466",a
chestnut bud floral (bach),,,"6994",b
chia,,,"5278",b
chia pÓ,,,"8498",c
chicoria tm,,,"15043",b
chicorium floral (mg),,,"6779",b
chicory *,,,"5065",c
chicory fl - bach,,,"24648",a
chicory floral (bach),,,"6997",b
chimaphila umbellata ho,,,"11150",c
china officinalis ho,,,"4666",c
china officinalis homeo,,,"6668",b
china officinalis tm,,,"11357",b
chininum arsenicosum homeo,,,"8465",b
chitosan,,,"4301",c
chitosan,"1398614",,"2506",a
chitosan,,,"69486",b
chitosan c,,,"69504",b
chloralum homeo,,,"10393",b
chlorella,,,"11095",b
chlorella tm,,,"13062",b
chlorpromazinum homeo,,,"13368",b
chlorum homeo,,,"8518",b
chocolate 50% chocolife,,,"8433",c
chocolate 70% chocolife,,,"4388",c
chocolife a 70%,,,"9680",b
choconutra 54% cacau,,,"10438",b
cholesterinum,,,"4760",b
cholesterinum homeo,,,"6107",b
chondodendron tomentosum tm,,,"8001",b
chromabright (galena),,,"12685",b
chromium metallicum homeo,,,"6108",b
chromo dm ii,,,"8288",b
chronic,,,"14981",b
chronic,,,"13636",a
chrysanthemum floral (cal),,,"6937",b
ciclamato sodico,,,"10117",a
ciclobenzaprina,,,"41919",b
ciclobenzaprina  dil 1/10,,,"3948",b
ciclobenzaprina hcl,"6202239","02013","7085",c
ciclobenzaprina hcl,"6202239","02013","79",a
ciclometicone,"69430246","02023","8776",a
ciclopirox olamina,"41621492","09336","38007",a
ciclopirox olamina **,,"09336","4309",c
ciclopirox olamine,,,"2047",b
cicuta virosa homeo,,,"6111",b
cidreira floral (sg),,,"3030",b
cigarro homeo,,,"7525",b
cilostazol,,,"3195",b
cimento homeo,,,"10093",b
cimetidina,,"02073","6376",c
cimetidine,,,"51720",b
cimetidine,"51481619","02073","51720",a
cimicifuga ext seco,"84776261","10252","8228",a
cimicifuga racemosa,"84776261","10252","5024",c
cina anthelmintica homeo,,,"7305",b
cina ho,,,"4669",c
cina maritima homeo,,,"6673",b
cinarizina,,,"51731",b
cinarizina,"298577","02089","51731",a
cindura,,,"13154",b
cindura,,,"10013",c
cindura 01/07/2021,,,"12694",a
cineraria maritima homeo,,,"8468",b
cinnabaris homeo,,,"6113",b
cinnamomum zeylanicum homeo,,,"14211",b
cinnamon,,,"5874",b
cipo cabeludo (consultar antes,,,"5933",b
ciprofibrato,,,"6686",c
ciprofibrato,"52214843","02136","33783",a
ciprofibrato,,,"71444",b
ciprofloxacino (infinity farma,,,"12822",b
ciproheptadine,,,"52152",b
"ciproheptadine clor feq 1,08",,,"6360",c
ciproheptadine hcl,"969335","02135","52152",a
ciproterona,,,"59900",b
ciproterona acetato,,,"6606",c
ciproterona acetato acabou,"427510","02146","59900",a
cissus,,,"8194",b
cissus quadrangulares $,,,"6570",c
cissus quadrangularis,,,"61770",a
cistanche tubulosa,,,"15542",b
cisteina,,,"51779",b
cistina,"56893","02159","51780",a
cistina,,,"51780",b
cistus canadensis homeo,,,"8469",b
citalopram,"59729327","02162","1735",b
citalopram bromidrato,"59729327","02162","23493",a
"citalopran feq 1,25","59729338","02162","5357",c
citerizine,,,"18399",b
citicolina,,,"4182",c
cito repair,,,"13550",b
citoprotec (consultar antes),,,"13385",b
citr calcio,,,"22664",b
citr magnesio,,,"3396",b
citr orfenadrina,,,"67611",b
citr potassio *,,,"51755",b
citr potassio monoidratado,"6100056","09373","51755",a
citr sodio,,,"51767",b
citrato clomifeno,,,"72758",b
citrato de calcio **,,"02176","6694",c
citrato de calcio tetrah,"5785444","02176","1202",a
citrato de magnesio,"153531965",,"1203",a
citrato de magnesio,"153531965",,"9824",c
citrato de potassio,"6100056","09373","7094",c
citrato de sodio **,,"02183","6779",c
citrato de sodio anidro,,,"1211",a
citrato de zinco,,,"5945",b
citrato de zinco sob enc 28/08,,,"8492",a
citrato zinco,,,"5729",c
citrimax,,,"10630",b
citrimax,,,"6588",c
citrimax,,,"9622",a
citrolumine 8 *,,,"6840",c
citrulina,"54940975","02192","4212",c
citrulina base,,,"13915",b
citrulina dl malato,,,"5627",b
citrulina malato,"54940975","02192","22097",a
citrullus colocynthis homeo,,,"10000",b
citrullus colocynthis homeo,,,"6674",b
citrus aurantium,"68916041",,"5534",a
citrus aurantium 6%,,,"5363",c
citrus max,,,"10405",b
citrus sinensis moro,,,"4058",c
citrusim,,,"12077",b
citrusim,,,"4341",c
ciwujja(florien),,,"11983",b
cl aluminio,"7784136",,"51792",a
cl aluminio,,,"51792",b
cl benzalconio,,,"51810",b
cl benzalconio 1/100,,,"14043",b
cl benzalconio 50%,"8001545","02364","51810",a
cl calcio dihidratado,,,"13187",a
cl calcio p.a,,,"10662",b
cl de ziprazidona,,,"3726",b
cl magnesio,,,"51846",b
cl magnesio hexahidratado,"7791186","02400","51846",a
cl potassio,,,"51858",b
cl potassio kcl,"7447407","2415","9031",a
cl sodio,,,"51860",b
cl sodio pa,"7647145","02421","51871",a
cla,,,"1512",b
cleansoap dh,,,"14383",b
clematis *,,,"5714",c
clematis fl - bach,,,"24867",a
clematis floral (bach),,,"6996",b
click dropper 15ml,,,"14946",b
climbazol,,,"9475",b
"clindamicina clor feq 1,09","21462395","02230","6619",c
clindamicina hcl,"21462395","02230","8118",a
clindamicina hcl,"21462395","09969","61761",b
clobazam,,,"3884",b
clobetasol,,,"52140",b
clobetasol 1:100 em alcool,,,"2715",a
clobetasol dil 1/100,,,"3973",b
clobetasol propionato,"25122467","02247","52140",a
clobetasol propionato,,"02247","7056",c
clomifeno citrato,,,"6908",c
clomipramina,"17321776","02297","72620",b
clomipramina hcl,"17321776","02297","2300",a
clonazepam,"1622613","02300","62571",a
clonazepam *puro,"1622613","02300","62571",b
clonazepam diluido 1/100,,,"3775",b
clopidogrel bisulfato,"120202666","02319","22116",a
clor de minociclina,"13614987","05977","8138",b
clor potassio 3m,,,"9237",c
cloranfenicol,"56757","02336","14308",a
clordiazepoxido,"58253","02354","4783",c
clordiazepoxido,"58253","02353","4848",a
clordiazepoxido,"438415","02354","58105",b
clorella,,,"2656",a
clorella po,,,"4367",c
cloreto de aluminio,,,"4747",c
cloreto de benzalconio,,,"4888",c
cloreto de ferro hexahidratado,,,"55529",a
cloreto de ferro iii,,,"5039",b
cloreto de magnesio,,"02400","7063",c
cloreto de potassio,,"02415","6557",c
cloreto de sodio,,"02421","6642",c
clorexidina digluconato 20%,,"02437","5373",c
clorhexidina,,,"22366",b
clorhidroxido alantoin,,,"45536",b
clorhidroxido aluminio,,,"53867",b
cloridrato aluminio 50%,,,"13989",b
cloridrato de venlafaxina,"93413695","09112","1257",b
clorihidroxido aluminio,,,"53867",a
cloroformio p.a,,,"12913",b
cloroformio pa,,,"4746",c
cloroquina difosfato **,"50635","02489","6756",c
clorpromazina hcl,"69090","02503","59973",a
clortalidona,"77361","02510","52206",a
clortalidona,,,"6888",c
clortalidona,,,"76491",b
clostebol,"1093589","02521","1718",b
clostebol acetato,"855196","02522","7532",a
clostridium homeo,,,"13928",b
clotrimazol,"23593751","02529","31586",a
clotrimazol,,,"3098",b
cloxazolam diluido 1/10,,,"3777",b
cloxazolam puro,"24166130","02535","63502",b
cloxazolam venceu,"24166130","02535","63502",a
cmo,,,"11052",b
cmo  cetil miristoleato,,,"9248",a
coaltar (consultar antes),,,"51950",b
cobalto quelado a 1% consultar,,,"2727",b
cobalto quelado acabou,,,"2670",a
cobamamida mp pura,"13870901","02541","50556",a
cobamida dil 1/10,,,"3974",b
cobre homeo,,,"13208",b
cobre quelado,,,"1296",b
cobre quelado 25/07/21,,,"1296",a
cobre quelato 20%,,,"7077",c
coccus cacti homeo,,,"8472",b
cochlearia officinalis p. ho,,,"7628",b
coco betaina,,,"19069",b
cocoamidopropil betaina,"61789400","02543","19069",a
cocoamidopropilbetaina,,,"4056",c
coconut,,,"9312",c
cocos floral (sg),,,"3514",b
codage,,,"9548",c
codeina fosfato,"52288","02557","6718",c
codeina fosfato hemi hidratado,"41444626","10802","9736",a
codeinum homeo,,,"14438",b
coentro em po,,,"9849",b
coentro po,,,"3510",a
coenzima q10,,,"38702",b
coenzima q10,"303980","09005","5513",c
coenzima q10 ho,,,"11522",c
coenzima q10 interno,"303980","09005","38702",a
coffea arabica homeo,,,"14495",b
coffea cruda ho,,,"4675",c
coffea cruda homeo,,,"6010",b
coffeskin,,,"38646",a
cognizin,,,"11991",b
colageno em po,,,"54161",b
colageno homeo,,,"14905",b
colageno liquido,,,"51962",b
colageno liquido 50%,,,"7070",c
colageno po,,"02566","6599",c
colageno po,"92113310",,"54161",a
colageno tipo ii,,,"4711",c
colageno tipo ii,,,"5562",b
colageno topico,,"02566","51962",a
colageno verisol frutas amarel,,,"15366",b
colastin,,,"2050",b
cold cream,,,"8574",b
colecalciferol oleo em liquido,,,"3730",a
colecalciferol usar  p/ caps,,,"2576",a
coleus forskolii,,,"25115",a
coleus foskolli 10% *,,,"6804",c
colibacillinum homeo,,,"6755",b
colibacillinun ho,,,"11160",c
colina bitartarato,"87672","02579","6721",c
collinsonia homeo,,,"8475",b
collys,,,"9338",c
collys,,,"8543",b
colocynthis ho,,,"4677",c
colodio elastico,,,"51986",b
colon total homeo,,,"9882",b
colostro,,,"12769",b
colostro homeo,,,"15035",b
cominho negro tm,,,"15011",b
commiphorin,,,"5250",c
comperlan kd,,,"51998",b
complex eye contour 11/08/21,,,"8526",a
complexe contour des yeus-f,,,"3854",b
complexo anti acne,,,"71122",b
complexo b,,,"4211",c
complexo b,,,"2208",b
comprimidos cristiano,,,"8351",b
comprimidos inertis,,,"10239",b
condicionador,,,"5407",b
condicionador base,,,"6830",c
condicionador leave-on,,,"14664",b
condicionador pro cycle hair,,,"9719",c
condicionador pronto,,,"2429",a
condroitina,"9007287","02597","39790",a
condroitina sulfato,"9007287","02597","5508",c
condroitina vegana,,,"10410",c
condurango homeo,,,"8477",b
conhaque,,,"7046",c
conhaque,,,"19537",b
conhaque 10 %,,,"5926",b
conhaque 15%,,,"10871",b
conhaque 20%,,,"5929",b
conhaque 30%,,,"5928",b
conium maculatum ho,,,"5931",c
conium maculatum homeo,,,"6013",b
conjuntivite homeo,,,"13661",b
conjunto refil divisorias,,,"14866",b
conta gotas 250ml c lacre,,,"8824",b
conta gotas 30ml c lacre,,,"69152",b
control pen vision 15ml,,,"14944",b
control pen vision 6ml,,,"14943",b
cooper peptideo,,,"8235",b
cooper peptideo,"49557757",,"62147",a
copaiva officinalis homeo,,,"13150",b
copasil,,,"12796",b
copo 10ml,,,"9044",b
copo 24/10ml,,,"14196",b
copo 30ml,,,"9045",b
copo dosador 50ml,,,"11261",b
copo graduado 10ml,,,"8839",b
copo graduado 15ml,,,"3748",b
copo medida 10 ml,,,"4258",c
copo medida 5ml,,,"9870",c
copo medidor 10ml p/ boca 24mm,,,"3748",a
copper peptideo,,,"8937",c
coracao de mae (gaia),,,"14851",b
coracao total homeo,,,"10175",b
corallium officinalis ho,,,"5953",c
corallium rubrum homeo,,,"5075",b
corante amarelo liquido,,,"4670",a
corante laranja liquido,,,"4690",a
corante marrom liquido,,,"4251",a
corante rosa,,,"13159",b
corante vermelho,,,"36403",a
corante vermelho alimenticio,,,"11475",c
cordas vocais (homeo),,,"13953",b
cordeiro homeo,,,"13926",b
cordia ecaliculata,,,"2894",b
cordia ecalyculata,,,"7083",c
cordia ecalyculata,,,"10269",a
cordyceps sinensis,,,"10579",b
cordyceps sinensis,,,"4716",c
cordyceps sinensis,,,"12938",a
coriandrum sativum homeo,,,"6430",b
coriandrum sativum tm,,,"6431",b
corn floral (cal),,,"6941",b
cornea homeo,,,"6015",b
coronarium floral (sg),,,"6735",b
coronarum,,,"3642",b
coronavac homeo,,,"15375",b
coronavaccinum oxford homeo,,,"15377",b
coroninum ho,,,"11714",c
coroninum homeo,,,"14658",b
cortex cerebral 199fc,,,"8051",b
cortex cerebral homeo,,,"14439",b
cortex suprarenal homeo,,,"7526",b
cortisol homeo,,,"14460",b
cortisona homeo,,,"3925",b
cosmacol eli,,,"7881",b
cosmacol emi,,,"14625",b
cosmacol esi(pharmaspecial),,,"10682",b
cosmo,,,"5148",b
cosmocair c250 (galena) acabou,,,"12340",a
cosmoguard,,,"1463",b
cosmoguard,,,"6524",c
cosmoguard acabou,,,"5714",a
cosmos floral (cal),,,"6943",b
cosmowax ft,,,"1322",b
costus spicatus tm,,,"15481",b
cotyledon umbilicus homeo,,,"14936",b
crab apple *,,,"5621",c
crab apple fl - bach,,,"24958",a
crab apple floral (bach),,,"6990",b
cramberry ext seco 25%,,,"6582",c
cramberry ext seco a 25%,,,"2878",b
cramberry homeo,,,"13294",b
cranberry extract,"91770886",,"35354",a
crataegus,,,"927",b
crataegus ext seco,,,"41789",a
crataegus oxy. extrato seco *,,"10275","6980",c
crataegus oxyacantha ho,,,"4566",c
crataegus oxyacantha homeo,,,"7782",b
crataegus oxyacantha tm,,,"10271",b
cravo da india tm,,,"14571",b
creatina,,,"76879",b
creatina,"6020877",,"6625",c
creatina monohidratada,"6020877",,"3812",a
creatinina homeo,,,"14315",b
creme calendullare,,,"8123",c
creme cold cream,,,"6652",c
creme cold cream pronto,,,"2432",a
creme hid. nao ionico led,,,"5409",b
creme hidratante,,,"2896",b
creme hidratante p/cor,,,"74135",b
creme lanette,,,"10326",c
creme lanette,,,"3414",b
creme lanette   tipo led,,,"23976",a
creme lanette base led,,,"5408",b
creme lanette oil free,,,"2372",b
creme n ionico,,,"39226",b
creme nao ionico,,,"6166",c
creme nao ionico pronto,,,"2437",a
creme oil free,,,"8473",c
creme para maos,,,"4012",b
creme second skin,,,"6777",c
creme xalifim,,,"1701",b
cremor tartaro,,,"52050",b
cresol homeo,,,"10014",b
crisina,,,"5183",b
crisina,"480400",,"33502",a
crisina,,,"6531",c
cristal de quartzo,,,"15348",b
"crocus sativos 3,5%",,,"12437",b
"crocus sativus 0,3%",,,"12661",b
crocus sativus ext seco,,,"8350",c
crocus sativus homeo,,,"6175",b
"cromo gtf 2,5%",,,"10610",b
cromo quelado,,,"1867",b
cromo quelado,,,"1867",a
cromo quelato 10%,,,"6843",c
cromoglicato sodio (falta),,,"52139",b
crosilk,,,"17530",b
croton tiglinum homeo,,,"8479",b
crowea floral (aus),,,"7229",b
crystalide (pharmaspecial),,,"14817",b
cs 400 (consultar),,,"10366",b
cucurbita pepo homeo,,,"13136",b
cuivridone (em falta),,,"9830",b
culex irritans homeo,,,"7529",b
cumarina,,,"52097",b
cumarina,"91645","02649","52097",a
cumarina,,,"6311",c
cuphea ingrata tm,,,"6433",b
cuprum arsenicosum homeo,,,"4118",b
cuprum metallicum homeo,,,"6360",b
curculigum floral (sg),,,"3507",b
curcuma homeo,,,"11638",b
curcuma longa tm,,,"12315",b
curcumim,"458377","11511","7102",c
curcumin ext seco,"458377","11511","7643",a
cureit,,,"12449",b
cureit,,,"9558",c
curoxyl nutrifarm,,,"12290",a
cx papelao p/ al maior 50 g,,,"1447",a
cx papelao p/ al menor 30 g,,,"1442",a
cx papelao p/ pastilha,,,"12843",a
cyanotis vaga,,,"5361",c
cyanotis vaga,,,"8559",b
cyanotis vaga (gamma sob enco),,,"7552",a
cyclamen europaeum homeo,,,"7895",b
cymbopogon citratus tm,,,"11102",b
cynara scolymus homeo,,,"6202",b
cynara scolymus tm,,,"6436",b
cypripedium pubescens homeo,,,"4362",b
cyrtopodium punctatum tm,,,"8529",b
cyrtopodium tm,,,"8881",b
cysteamina acabou,"156570",,"12687",a
cysteamine,,,"9302",c
cysteamine uso externo,,,"13094",b
cytobiol iris,,,"69516",b
d chiro inositol,,,"12596",b
d manose,,,"10186",b
d pantenol puro,,,"6691",c
d pantenol topico,,,"11357",a
d ribose **,,,"6592",c
d ribose 13/07/2021,"50691",,"35760",a
d-pantenol,,,"52553",b
d-pantenol diluido,,,"4187",b
d. ribose,,,"1529",b
dagger hakea floral (aus),,,"7230",b
dama do lago (gaia),,,"14567",b
damiana,,,"13341",a
dandelion floral (cal),,,"6947",b
dantron,,,"4148",c
dapaglifozima,,,"13014",b
dapaglifozina,,,"8390",c
dapoxetina hcl,"129938201","10801","10831",b
daymost clr,,,"8169",b
dds falta nos fornecedores,"80080","02686","52280",a
deerbrush floral (cal),,,"6948",b
defensil plus(atica),,,"12039",b
deflazacort,"14484470","02728","19495",a
deflazacort 1:10,,,"8403",c
deflazacort dil 1/10,,,"3949",b
dehyton kb,,,"16380",b
delentigo,,,"9625",c
demodex canis homeo,,,"12832",b
densi skin,,,"1222",b
densiskin,,,"5989",a
densiskin*,,,"9618",c
dente de leao 31/08/21,,,"6735",a
dente de leao po,,,"6941",c
dente de leao tm,,,"13437",b
dente homeo,,,"7443",b
deo usnate,,,"41877",b
derma biotic,,,"14562",b
dermaspheres c,,,"10736",b
dermatofagoides pterony homeo,,,"10199",b
dermatophagoides farinae ho,,,"11758",c
dermatophagoides farinae homeo,,,"10468",b
dermatophagoides pteronyssinus,,,"11756",c
dermatophagoidinum,,,"4702",b
dermatophagoidinum ho,,,"11906",c
dermatophagoidinum homeo,,,"9372",b
dermaxyl,,,"5894",b
dermcom,,,"11886",c
descarb,,,"15380",b
desertlily floral (cal),,,"6951",b
desloratadina acabou,"100643718","02788","11153",a
desmopet (biotec),,,"13518",a
desmovit,,,"9729",c
desmovit,,,"13133",b
desonida,,"02797","6663",c
desonida diluida 1/ 100,,,"3930",b
desonide,,,"75607",b
desonide 1:100,,,"3924",a
desonide mp,"638948","02797","75607",a
desvenlafaxina,"386750227","09608","3345",b
detox cell acabou,,,"1264",a
detox cell(vital),,,"9220",b
detox in,,,"1265",a
detox shield,,,"11721",c
dexametasona 1/10 topico,,,"15445",b
dexametasona 1:100 externo,,,"3847",a
dexametasona acet.top.,"1177873","02819","6189",a
dexametasona acetato,,"02819","4040",c
dexametasona base,,,"80524",b
dexametasona base int,"50022","02817","42930",a
dexametasona dil 1/100,,,"3963",b
dexametasona uso interno dil ,,,"4254",b
dextrose acabou,"50997","04485","8433",a
di palmitato de ac kojico,,,"13965",b
diacereina,"13739021","02892","2851",a
diacereina,"13739021","02892","6554",c
diacereina,,,"72783",b
diamino difenilsulfona,"80080","02686","52280",b
dianthus floral (minas),,,"6784",b
diazepam,"439145","02904","58129",b
diazepam 31/08/21,"439145","02904","58129",a
diclofenaco potassico (consult,,,"1415",b
diclofenaco potassio,"15307810","02929","73866",a
diclofenaco sodico,,,"52565",b
diclofenaco sodico,"15307796","02930","52565",a
diclofenaco sodico **,,"02929","4371",c
diencefalo homeo,,,"15379",b
dietanolamina ac graxo,"68603429","09697","56662",a
difosfato  cloroquina,,,"52292",b
difosfato cloroquina,"50635","02489","52292",a
digezyme,,,"11628",b
digitalis lanata homeo,,,"6368",b
digitalis purpurea homeo,,,"6016",b
diglothin,,,"10341",c
diglothin,,,"13129",b
diglotin (florien),,,"13085",a
digluconato clorhexidina,"18472510","02437","22366",a
dihidroergocristina,,,"6043",c
dihidroergocristina dil 1/10,,,"4153",b
dihidroergocristina mesilato,"24730107","03019","68860",a
diisidrose homeo,,,"10003",b
dill floral (cal),,,"6949",b
diltiazem,,,"71365",b
diltiazen cloridrato,,,"6675",c
diltiazen hcl (pf) policia,"33286225","03038","5671",a
dilucap antiox (celulomax anti,,,"13593",a
dim,,,"8387",c
dim,,,"8211",b
dimagnesio malato,,,"10607",b
dimetilglicina,,,"14069",b
dimetilsulfoxido,,,"52528",b
dimpless,,,"10073",b
dimpless,,,"6572",c
dimpless (galena) sob enc,,,"10721",a
dinitrato de isossorbida,,,"1827",b
dinitrato isosorbida,"87332","05104","24107",a
dioscorea vilosa homeo,,,"7956",b
dioscorea vilosa tm,,,"12497",b
diosmina,,,"76375",b
diosmina *,,"03096","6623",c
diosmina 02/07/21,"520274","03096","3539",a
dioxido silicio,,,"73830",b
dioxido titanio micro,,,"52486",b
dipirona,,,"55050",b
dipirona sodica,,"03121","7101",c
dipirona sodica(pc-pf) 24/08/2,"5907380","09564","55050",a
disco cervical homeo,,,"7339",b
disco intervertebral homeo,,,"3103",b
disco lombar homeo,,,"7258",b
disco vertebral homeo,,,"7342",b
dissolut,,,"41980",a
dissolut abacaxi ( consultar,,,"10519",b
dissolut guarana(consultar,,,"10813",b
dl carnitina,,,"1414",b
dl metionina,,,"11902",b
dmae bitartar uso int sob enc,"5988512","01304","23067",a
dmae bitartarato,,,"5239",c
dmae bitartarato,,,"1165",b
dmae fluido lipossomado,,,"10173",c
dmae lb-2 uso externo,,,"1426",a
dmae neutralizado externo,,,"4191",b
dmsa,,,"5259",b
dmso,"67685","03066","52528",a
dmso,,"03066","6864",c
dmso homeo,,,"7409",b
dog rose floral (aus),,,"7231",b
dog rose of the wild forc -aus,,,"7232",b
dogwood floral (cal),,,"6950",b
dolichos pruriens homeo,,,"7528",b
dolichus pruriens ho,,,"11909",c
domperidona,,"03179","4255",c
domperidona,,,"11265",b
domperidona base,"57808669","03179","11265",a
domperidona maleato,,,"1280",a
dong quai,,,"77161",b
dong quai acabou,,,"4201",a
dong quai ext seco,,,"4386",c
dopamina homeo,,,"7414",b
doryphora decemlineata (homeo),,,"15070",b
doxazosina,"77883433","03210","5719",a
doxazosina dil 1/10,,,"3982",b
"doxazosina mesilato feq 1,21",,"03210","7092",c
doxepina,,"03213","1720",b
doxiciclina hcl,"24390145","03222","1547",a
doxiciclina hiclato,"24390145","03222","42110",b
dragon s blood lp,,,"10225",b
drenow c,,,"13231",b
drenow c (florien),,,"13076",a
drieline,,,"65869",b
drieline,"8013012",,"1738",a
drone cca,,,"14727",b
drosera rotundifolia  homeo,,,"7332",b
dry flo,,,"4337",c
dry flo,,,"3734",b
dry flo,"9087610",,"34310",a
dsb c,,,"13217",b
dulcamara ho,,,"4080",c
dulcamara homeo,,,"3327",b
dulcis floral (sg),,,"3509",b
duloxetina  hcl,"136434349","03263","5598",a
"duloxetina clor feq 1,25","136434349","03262","4259",c
duloxetina hcl,"136434349","03263","3738",b
dutasterida,,"03270","6394",c
dutasterida,"164656239","03270","10832",a
dutasterida dil 1/100,,,"4940",b
dutasterida uso topico,,,"14885",b
dutasteride,,,"4504",b
dwarf fireweed (ala),,,"12548",b
dynamis essence (aust),,,"12066",b
easter lily floral (cal),,,"7817",b
easyalgae,,,"10655",c
echinacea angustifolia homeo,,,"6437",b
echinacea angustifolia tm,,,"6438",b
echinacea extrato seco,,,"5082",c
echinacea floral (cal),,,"4529",b
echinacea purpurea tm,,,"6678",b
echinacea tintura,,,"4449",c
echinodorus macrocarpus ho,,,"11524",c
echinodorus macrophyllum tm,,,"8597",b
ecodermine,,,"9624",c
edta,,,"52577",b
edta,,"00168","4102",c
edta 1:10 em agua,,,"9758",a
edta dissodico,"6381926","0173","52577",a
edta homeo,,,"7408",b
efaderma,,,"4139",c
efaderma vevy sob enc,,,"62305",a
egcg,,,"8972",c
elaps corallinus homeo,,,"8483",b
elastina,,,"5386",c
elastina,,,"52589",b
elastina veg hidrol acabou,"91080181",,"42463",a
elastocell,,,"80240",b
elm *,,,"5660",c
elm fl - bach,,,"168",a
elm floral (bach),,,"6998",b
emb airless finesse rose 30ml,,,"14543",b
emb airless finesse rose 50ml,,,"14544",b
emb bisnaga prata 15ml,,,"14537",b
emb bisnaga prata 30ml,,,"14538",b
emb bisnaga prata 60ml,,,"14541",b
emb bisnaga rosa 15ml,,,"14534",b
emb bisnaga rosa 30ml,,,"14535",b
emb bisnaga rosa 60ml,,,"14536",b
emb bisnaga tube pump 30ml,,,"14553",b
emb hom-vd 20ml c/conta-gotas,,,"9749",b
emb saboneteira azul 250ml,,,"14550",b
emb saboneteira rosa 150ml,,,"14551",b
emb spray azul 60ml,,,"14547",b
emb spray rosa 100ml,,,"14548",b
emb spray rosa 60ml,,,"14549",b
embalagem airless slim look 30ml,,,"5576",b
embalagem mousse 150ml,,,"14705",b
embalagem mousse 50ml,,,"14704",b
embalagem mousse escovinha,,,"14703",b
embalagem p/strip (caixa),,,"10494",c
embalagens,,,"12287",b
embauba floral (sg),,,"3047",b
embauba tm,,,"15081",b
emblica,,,"11248",c
emergencial floral (sg),,,"3760",b
emilia floral (mg),,,"6787",b
emulfeel (i9 magistral),,,"14964",b
emulium illustro,,,"14649",b
emulsao agua e silicone,,,"3495",a
enalapril maleato,"76095164","03370","1413",a
enalapril maleato,,"03370","6817",c
endometrio homeo,,,"14890",b
endorfeel nutri $,,,"6466",c
endorfeel nutri sob enc,,,"61328",a
endorfeel nutry,,,"5103",b
endorphin,,,"8748",b
endorphin acabou,,,"33441",a
enterecoccus faecium,,,"10009",c
enterobius vermiculares homeo,,,"14779",b
enterococcinum homeo,,,"14896",b
enterococcus faecalis,,,"13121",b
enterococcus faecalis homeo,,,"14780",b
envelope inviolavel 20x30,,,"11455",c
envelope para sache 15g,,,"4372",c
envelope para sache 5g,,,"5541",c
envelope zip lenço umedecido,,,"10277",c
envelopes p/ formula,,,"23462",b
envelopes p/ formula 1,,,"7500",b
envelopes p/ formula 7 x 7 peq,,,"34249",a
envelopes p/ formula grd,,,"32421",a
enxofre,,,"52620",b
enxofre liquido,,,"6973",c
enxofre liquido sob enc,,,"3840",a
enxofre po,"7704349","09432","52620",a
enxofre po,,"09432","7068",c
enxtra,,,"13369",b
ephedra (florien),,,"13267",b
epicor,,,"6411",c
epicor,,,"2580",b
epicor sob enc,,,"36073",a
epicutin,,,"80226",b
epiderfil,,,"10424",c
epiderfil,,,"2673",b
epidermophyton homeo,,,"14033",b
epididimo homeo,,,"7581",b
epifactor ampola,,,"9303",a
epigalo catequina galato sob e,,,"10821",a
epimedium,,,"6573",c
epimedium icarin sob enc.,,,"9892",a
epinefrina,,,"13010",b
epinefrina 1/10,,,"14112",b
epinefrina 1/100,,,"15558",b
epinefrina diluida 1/1000,,,"13736",b
epitelio de gato (homeo),,,"13291",b
eps white,,,"9627",c
equinacea  purpurea ho,,,"11136",c
equinacea ext seco,,,"9244",b
equinacea purpurea ext,,,"3947",a
equinacea tint acabou,,,"11773",a
equisetum arvense homeo,,,"10398",b
equisetum arvense tm,,,"8099",b
equisetum giganteum tm,,,"10412",b
equisetum hyemale homeo,,,"7809",b
erbum floral (sg),,,"4550",b
erianthum floral (sg),,,"3520",b
eritrhina mulungu tm,,,"13410",b
eritromicina base,"114078","03490","5527",c
eritromicina estolato,"3521628","03494","52670",b
eritrulose (galena),,,"7771",b
erva baleeira po,,,"9238",b
erva baleeira po,,,"36083",a
erva baleeira tintura,,,"6410",c
erva cidreira,,,"73933",b
erva doce,,,"47971",b
erva doce tm,,,"598",b
erythrina mulungu ho,,,"11791",c
erythrina mulungu homeo,,,"11904",b
escherichia coli homeo,,,"7903",b
escina,,,"52681",b
escitalopram homeo,,,"15074",b
escitalopram oxalato,"219861082","03513","35104",a
"escitalopram oxalato feq 1,28","219861082","03513","4073",c
escitalopram oxalato puro,"219861082","03513","2289",b
esfera rollon frasco 70,,,"14951",b
esferas de bambu,,,"11620",c
esferas de porcelana,,,"15044",b
esfoliante de arroz,,,"9530",c
